Data,Nous casos diaris confirmats,Defuncions diàries en centres hospitalaris,Altes hospitalàries diàries,Total casos confirmats,Total defuncions en centres hospitalaris,Total altes hospitalàries
23/04/2020,754,106,1197,46629,5396,25984
22/04/2020,1082,210,896,45875,5290,24787
21/04/2020,1098,176,1474,44793,5080,23891
20/04/2020,1085,328,1536,43695,4904,22417
19/04/2020,618,240,1066,42610,4576,20881
18/04/2020,1004,213,727,41992,4336,19815
17/04/2020,1252,67,364,40988,4123,19088
16/04/2020,361,201,1427,39736,4056,18724
15/04/2020,2870,99,646,39375,3855,17297
14/04/2020,1308,90,684,36505,3756,16651
13/04/2020,471,128,365,35197,3666,15967
12/04/2020,699,96,627,34726,3538,15602
11/04/2020,1043,111,677,34027,3442,14975
10/04/2020,1257,100,785,32984,3331,14298
09/04/2020,684,83,450,31727,3231,13513
08/04/2020,1396,107,813,31043,3148,13063
07/04/2020,1324,133,1512,29647,3041,12250
06/04/2020,1499,148,650,28323,2908,10738
05/04/2020,792,123,560,26824,2760,10088
04/04/2020,1298,129,893,26032,2637,9528
03/04/2020,1274,173,786,24734,2508,8635
02/04/2020,1656,242,932,23460,2335,7849
01/04/2020,1813,244,1216,21804,2093,6917
31/03/2020,1218,177,735,19991,1849,5701
30/03/2020,2616,262,841,18773,1672,4966
29/03/2020,1131,184,670,16157,1410,4125
28/03/2020,763,156,349,15026,1226,3455
27/03/2020,1323,190,722,14263,1070,3106
26/03/2020,1348,208,687,12940,880,2384
25/03/2020,1655,156,423,11592,672,1697
24/03/2020,2073,177,519,9937,516,1274
23/03/2020,1939,94,27,7864,339,755
22/03/2020,1221,54,84,5925,245,728
21/03/2020,501,69,494,4704,191,644
20/03/2020,933,40,68,4203,122,150
19/03/2020,568,27,,3270,82,82
18/03/2020,836,14,,2702,55,
17/03/2020,472,23,,1866,41,
16/03/2020,491,6,,1394,18,
15/03/2020,188,4,,903,12,
14/03/2020,206,2,,715,8,
13/03/2020,190,0,,509,6,
12/03/2020,135,2,,319,6,
11/03/2020,55,1,,184,4,
10/03/2020,24,0,,129,3,
09/03/2020,23,2,,105,3,
08/03/2020,29,0,,82,1,
07/03/2020,13,0,,53,1,
06/03/2020,8,1,,40,1,
05/03/2020,5,0,,32,0,
04/03/2020,6,0,,27,0,
03/03/2020,4,0,,21,0,
02/03/2020,3,0,,17,0,
01/03/2020,5,0,,14,0,
29/02/2020,3,0,,9,0,
28/02/2020,3,0,,6,0,
27/02/2020,0,0,,3,0,
26/02/2020,1,0,,3,0,
25/02/2020,1,0,,2,0,
24/02/2020,1,0,,1,0,
